GO:0010494	GO:0005887;GO:0031226	GO:0005874;GO:0099513	GO:0005765;GO:0098852	GO:0000808;GO:0005664	GO:0005794	GO:0045171;GO:0045172	GO:0042555	GO:0036464;GO:0035770	GO:0005871	GO:0005667	GO:1902554;GO:1902911	GO:0005791	GO:0030425	GO:0016604	GO:0098791;GO:0031984	GO:0000407	GO:0008023	GO:0016328	GO:0005643;GO:0046930	GO:0009295;GO:0042645	GO:0045177	GO:0005656;GO:0036387	GO:0044456;GO:0045202	GO:0045120	GO:0005798	GO:0097223	GO:0043240	GO:0005816	GO:0005758;GO:0031970	GO:0055037;GO:0055038	GO:0030133;GO:0030135;GO:0030136	GO:0016469;GO:0033176;GO:0033181	GO:0005849	GO:0005901;GO:0044853	GO:0012506;GO:0030659	GO:0032809	GO:0035327	GO:0043186;GO:0045495;GO:0060293	GO:0005769	GO:0030027	GO:0016605	GO:0045169	GO:0098797	GO:0044429	GO:0005773;GO:0044437	GO:0042383	GO:0005876	GO:0031968;GO:0019867;GO:0005741	GO:0005771	GO:0044450	GO:0016363;GO:0034399	GO:0000780	GO:0098805	GO:0030666	GO:0031301;GO:0031300	GO:0043025;GO:0044297	GO:0044452	GO:0044420;GO:0005604;GO:0062023	GO:0001726	GO:0043235	GO:0005657	GO:0019897;GO:0019898	GO:0000815	GO:0044432;GO:0005789;GO:0042175	GO:0005813;GO:0005815	GO:0031985;GO:0032580	GO:0005924;GO:0030055;GO:0005925	GO:0044433	GO:0099503	GO:0043596	GO:0042470;GO:0048770	GO:0005881	GO:0015934;GO:0022625	GO:0005801	GO:0043230;GO:0065010;GO:0070062;GO:1903561	GO:0000777	GO:0001939	GO:0005637	GO:0030018;GO:0031674	GO:0000502;GO:1905369;GO:1905368	GO:0044431	GO:0044445	GO:0005681;GO:0071011	GO:0070160;GO:0043296	GO:0016235	GO:0030139	GO:0072686	GO:0032593	GO:0071547	GO:0000792	GO:0005911	GO:0032420	GO:0000793	GO:0005875	GO:0005778;GO:0031903;GO:0044439;GO:0044438	GO:0098858;GO:0030175	GO:0032153;GO:0032154;GO:0032155	GO:0000323;GO:0005764	GO:0016459	GO:0045121;GO:0098857;GO:0098589	GO:0098796	GO:0031252	GO:0045178;GO:0099738	GO:0005776	GO:1990204	GO:0030532;GO:0120114	GO:0032588	GO:0030062;GO:0045239	GO:0030496	GO:0005615	GO:0005850	GO:0005703	GO:0032039	GO:0000922	GO:0033267	GO:0005903;GO:0031526	GO:0009898;GO:0098562	GO:0000775;GO:0000776	GO:0005777;GO:0042579	GO:0005844	GO:0099568	GO:0002199;GO:0005832;GO:0101031	GO:0000781	GO:0030117;GO:0030118;GO:0048475	GO:0005770	GO:0000151;GO:0031461	GO:0005796	GO:0031965	GO:0005918	GO:0031901	GO:0030173;GO:0031228	GO:0033391	GO:0002080;GO:0030667	GO:0000791;GO:0005719	GO:0030140	GO:0080008	GO:0042641	GO:0009925;GO:0045179	GO:0030662;GO:0030665	GO:0031463	GO:0098590	GO:0045111	GO:0009507;GO:0009536;GO:0044435;GO:0044434	GO:0031902	GO:0090575	GO:0016324	GO:0005720	GO:0030863	GO:0033270	GO:0030672;GO:0099501	GO:0014704;GO:0044291	GO:0005759	GO:0005840;GO:0044391;GO:0022626	GO:0005740;GO:0031966	GO:0031514;GO:0044441	GO:0044298	GO:0061695	GO:0005774	GO:0000932	GO:0043005	GO:0030658	GO:0005746;GO:0070469;GO:0098800;GO:0098803	GO:0005819	GO:0099512;GO:0099081;GO:0099080	GO:0001669	GO:0005802	GO:0071564	GO:0005795	GO:0098687	GO:0034708;GO:0035097	GO:0005811	GO:0071546	GO:0000307	GO:0045211;GO:0097060	GO:0005581	GO:0000785	GO:0005730	GO:0070603;GO:1904949	GO:0120038;GO:0044463	GO:0031012	GO:0005700	GO:0000790	GO:0010008;GO:0044440	GO:0098862	GO:0030864	GO:0005793	GO:0016607	GO:0048188	GO:0032838	GO:0030054	GO:0032993	GO:0016514;GO:0071565	GO:0005930;GO:0097014	GO:0016234	GO:0044798	GO:0016471	GO:0000228;GO:0044454	GO:0005929	GO:0000428;GO:0030880;GO:0016591;GO:0055029	GO:0005788	GO:0005747;GO:0045271;GO:0030964	GO:0031253	GO:0030426;GO:0030427	GO:0005751;GO:0045277;GO:0070069	GO:0005938	GO:0030286	GO:0005912;GO:0070161	GO:0071013	GO:0000152;GO:0005680	GO:0005902	GO:0005775;GO:0043202	GO:0048471	GO:0030016;GO:0043292;GO:0030017;GO:0044449	GO:0044455	GO:0033178	GO:0000139	GO:0030424	GO:0000794	GO:1990234	GO:0032839;GO:0120111	GO:0045180	GO:0031256	GO:0009986	GO:0005635	GO:0044304	GO:0031430;GO:0031672	GO:0000779	GO:0005839	GO:0035869	GO:0098798	GO:0043204	GO:0030176;GO:0031227	GO:0033268	GO:0016323	GO:0031011;GO:0033202;GO:0097346	GO:0009897	GO:0005721	GO:0043195;GO:0098793;GO:0043679;GO:0044306	GO:0031080	GO:0036452	GO:0098552	GO:0008021;GO:0070382	GO:0005694;GO:0044427	GO:0032421	GO:0042734	GO:0030141	GO:1990904	GO:0014069;GO:0099572	GO:0005768	GO:0031594	GO:0044448	GO:0019866;GO:0005743	GO:0005913	GO:0005905	GO:0005576;GO:0044421	GO:0015935;GO:0022627	GO:0015629	GO:0005923
1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	0.500	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.500	0.500	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	0.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.500	1.000	1.000	0.500	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.667	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	0.333	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.833	0.833	1.000	1.000	0.667	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	0.667	0.833	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.750	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.667	1.000	1.000	0.500	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.667	0.667	1.000	0.500	1.000	1.000	1.000	0	1.000	0.500	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.833	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.667	1.000	1.000	1.000	0.833	1.000	0.800	1.000	0.833	1.000	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.750	1.000	1.000	1.000	0.750	1.000	0.667	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.833	0.667	0.750	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	0.667	1.000	1.000	1.000	1.000	1.000	0.500	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	0.833	0.833	0.833	1.000	1.000	0.667	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.667	0.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.000	0.500	0.500	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.500	1.000	0.500	1.000	1.000	1.000	0.500	1.000	0	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	0.500	0.500	0.500	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000
1.000	1.000	0.750	0.667	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.750	0.750	1.000	1.000	0.750	1.000	1.000	1.000	1.000	0.500	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	0.750	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.750	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	0.750	0.750	1.000	1.000	1.000	1.000	0.750	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	0.750	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.667	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	0.333	0.500	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.667	1.000	0.667	1.000	1.000	1.000	1.000	0.667	0.000	1.000	1.000	1.000	0.667	1.000	0.833	1.000	1.000	1.000	1.000	0.833	0.667	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.667	1.000	0.800	1.000	0.833	1.000	0.833	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.792	1.000	0.667	1.000	0.042	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.933	1.000	0.083	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.667	0.167	0.857	1.000	1.000	1.000	1.000	0.533	1.000	1.000	0.750	0.917	0.500	1.000	1.000	0.900	1.000	1.000	0.667	1.000	0.917	0.812	0.667	1.000	1.000	0.500	1.000	1.000	1.000	0.708	1.000	0.667	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.625	1.000	0.000	1.000	0.750	0.786	1.000	0.750	1.000	1.000	0.000	0.833	1.000	0.500	0.750	1.000	1.000	0	1.000	1.000	0.750	1.000	0.857	1.000	0.500	1.000	1.000	0.818	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	0.889	0.958	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.800	0.667	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.700	1.000	0.000	0.882	1.000	1.000	0.000	1.000	0.500	1.000	0.000	1.000	1.000	1.000	0.750	1.000	0.875	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.905	1.000	0.667	1.000	0.778	1.000	0.917	0.667	1.000	0.933	1.000	0.750	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.933	0.958	1.000	0.875	1.000	1.000	1.000	0.706	0.778	1.000	0.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.750	1.000	1.000	1.000	0.000	0.923	1.000	1.000	1.000	1.000	1.000	0.900	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	0.778	1.000	0.833	1.000	1.000	1.000	1.000	0.900	0.750	0.917	1.000	1.000	0.750	1.000	0.800	0.667	1.000	1.000	0.895	1.000	0.667	0.833	1.000	1.000	0.500
